Variavel,Importancia
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Garagem",0.0015050301
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Garagem",0.001500417
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora, Freezer",0.0015001097
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto, Avô ou Avó",0.001499652
"TX_RESP_Q06_Pai ou Padrasto, Avô ou Avó",0.0014949386
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0014882993
TX_RESP_Q07_Não completou o 5º ano do Ensino Fundamental,0.001487274
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0014863273
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Freezer",0.0014828272
"TX_RESP_Q06_Mãe ou Madrasta, Irmão(s) ou Irmã(s)",0.0014828126
TX_RESP_Q09c_Nunca ou quase nunca,0.001481895
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Freezer",0.0014814301
TX_RESP_Q09a_Sempre ou quase sempre,0.0014810174
"TX_RESP_Q12_Mesa, Microondas, Lavadora, Freezer, Garagem",0.0014750266
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0014736975
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora, Freezer",0.0014686232
"TX_RESP_Q12_Wi-Fi, Garagem",0.0014653251
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Garagem",0.0014596614
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora, Freezer, Garagem",0.001459204
"TX_RESP_Q12_Aspirador, Lavadora, Freezer, Garagem",0.0014549494
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora, Freezer, Garagem",0.001453418
