Variavel,Importancia
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Freezer, Garagem",0.0011847415
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora, Freezer",0.0011826634
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora, Garagem",0.001181473
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora",0.0011774255
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora, Freezer",0.0011754977
"TX_RESP_Q12_Lavadora, Freezer",0.0011735333
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Garagem",0.0011618655
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0011581747
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora",0.0011570236
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Freezer",0.0011561807
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora, Garagem",0.0011515573
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Garagem",0.0011468985
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Freezer, Garagem",0.0011369218
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Freezer",0.0011257477
"TX_RESP_Q12_Wi-Fi, Mesa, Freezer, Garagem",0.0011176507
"TX_RESP_Q12_Quarto, Microondas, Lavadora, Freezer",0.0011147172
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora",0.0011131709
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador",0.0011115755
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Freezer",0.0011113267
TX_RESP_Q12_Mesa,0.0010980014
"TX_RESP_Q12_Wi-Fi, Microondas, Freezer",0.0010938935
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora",0.0010885864
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa",0.0010836282
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Freezer",0.0010816109
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Garagem",0.0010809016
"TX_RESP_Q12_Quarto, Mesa, Lavadora, Freezer",0.0010784196
"TX_RESP_Q12_Wi-Fi, Garagem",0.001072587
TX_RESP_Q12_Nenhum,0.0010613664
"TX_RESP_Q12_Wi-Fi, Mesa, Freezer",0.0010579561
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora",0.0010553927
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora",0.0010535734
TX_RESP_Q12_Quarto,0.0010300383
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Garagem",0.0010249238
"TX_RESP_Q12_Mesa, Lavadora, Garagem",0.0010227215
"TX_RESP_Q12_Mesa, Lavadora, Freezer",0.0010179132
TX_RESP_Q11e_2,0.001017628
"TX_RESP_Q12_Microondas, Aspirador, Lavadora, Freezer, Garagem",0.00101697
"TX_RESP_Q12_Quarto, Aspirador, Lavadora, Garagem",0.0009952288
"TX_RESP_Q12_Quarto, Microondas, Lavadora, Garagem",0.0009894724
"TX_RESP_Q12_Wi-Fi, Aspirador",0.0009885131
"TX_RESP_Q12_Mesa, Freezer",0.0009825641
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Freezer",0.0009791104
"TX_RESP_Q12_Mesa, Freezer, Garagem",0.00095361425
"TX_RESP_Q12_Microondas, Aspirador, Lavadora, Freezer",0.00095033896
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0009478512
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora",0.00094781554
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0009467936
"TX_RESP_Q12_Wi-Fi, Quarto, Garagem",0.0009222849
"TX_RESP_Q12_Aspirador, Lavadora, Freezer",0.000919899
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Freezer, Garagem",0.000905734
"TX_RESP_Q12_Mesa, Aspirador, Lavadora, Freezer",0.0009043758
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Garagem",0.0008967113
"TX_RESP_Q12_Quarto, Lavadora, Freezer",0.000895594
